

Results for corner tt
[['0', 'time', 'time'], ['1', 'v(clk)', 'voltage'], ['2', 'v(comp_out)', 'voltage'], ['3', 'v(inn)', 'voltage'], ['4', 'v(inp)', 'voltage'], ['5', 'v(temperat)', 'voltage'], ['6', 'v(vdd)', 'voltage'], ['7', 'i(vvdd)', 'current']]
81, 0.7, 1.9, 2.5e-07, 2.6e-07, 1.1e-08, OK
16, 0.65, 1.7, 2.5e-07, 2.6e-07, 8.3e-09, OK
-1.1, 1.3, 1.8, 2.5e-07, 2.5e-07, 0, OK
-14, 0.53, 1.8, 2.5e-07, 2.6e-07, 8e-09, OK
79, 0.65, 1.8, 2.5e-07, 2.6e-07, 6.7e-09, OK
43, 0.44, 1.8, 2.5e-07, 3.4e-07, 9.5e-08, Failed
66, 1.3, 1.8, 2.5e-07, 2.5e-07, 0, OK
77, 0.79, 1.8, 2.5e-07, 2.6e-07, 8.6e-09, OK
61, 1.1, 1.9, 2.5e-07, 2.5e-07, 0, OK
30, 1, 1.8, 2.6e-07, 2.6e-07, 0, OK
28, 1.3, 1.9, 2.6e-07, 2.6e-07, 0, OK
56, 1.3, 1.8, 2.5e-07, 2.5e-07, 0, OK
66, 0.97, 1.8, 2.6e-07, 2.6e-07, 0, OK
17, 0.61, 1.8, 2.5e-07, 2.6e-07, 8.3e-09, OK
-8, 1.3, 1.8, 2.6e-07, 2.6e-07, 0, OK
18, 0.86, 1.8, 2.5e-07, 2.6e-07, 6.4e-09, OK
24, 0.97, 1.8, 2.6e-07, 2.6e-07, 8.5e-10, OK
2.9, 0.87, 1.8, 2.6e-07, 2.6e-07, 5.3e-09, OK
59, 1, 1.8, 2.5e-07, 2.5e-07, 0, OK
50, 1.1, 1.9, 2.5e-07, 2.5e-07, 0, OK
43, 0.41, 1.7, 2.6e-07, 4.2e-07, 1.6e-07, Failed
61, 1.2, 1.8, 2.5e-07, 2.5e-07, 0, OK
65, 1.2, 1.7, 2.5e-07, 2.5e-07, 0, OK
35, 1.4, 1.8, 2.5e-07, 2.5e-07, 0, OK
46, -0.0082, 1.8, 2.5e-07, 1e-12, -2.5e-07, Failed
9.4, 0.75, 1.8, 2.6e-07, 2.6e-07, 3.5e-09, OK
55, 0.46, 1.8, 2.6e-07, 2.8e-07, 2.5e-08, OK
-54, 0.83, 1.8, 2.5e-07, 2.6e-07, 1.1e-08, OK
77, 0.53, 1.8, 2.7e-07, 2.8e-07, 1.5e-08, OK
14, 1.4, 1.8, 2.5e-07, 2.5e-07, 0, OK
 Working Common mode range: 0.46 - 1.7 V
Working Temperature range: -54.43 - 93.54 Deg C
Working Supply voltage range: 1.7 - 1.9 V
Power consumption: min 2.1481706323543127e-11 max 0.003525989125426567 av 7.536755968835837e-05 W
Average propagation delay: 4.5914726453959835e-09 ns

Failures: 
[(np.float64(8.436693984821716), np.float64(0.24739979180656468), np.float64(1.8264505860875992)), (np.float64(92.33298306447506), np.float64(0.35048478076240047), np.float64(1.7922151062801372)), (np.float64(35.684909860125174), np.float64(0.2438449207913003), np.float64(1.8803200452841502)), (np.float64(6.159125761156929), np.float64(0.03773042281558292), np.float64(1.746785582257873)), (np.float64(5.299933969086226), np.float64(0.39482991301368947), np.float64(1.6708406781284142)), (np.float64(34.30116108223035), np.float64(0.3678221093037349), np.float64(1.9246544918078032)), (np.float64(17.493040232196336), np.float64(0.2217838158793631), np.float64(1.671965684912058)), (np.float64(66.20506809089079), np.float64(0.23891610700850519), np.float64(1.7787557267531031)), (np.float64(16.061472917048945), np.float64(0.3174843825644164), np.float64(1.7588139986276752)), (np.float64(37.58043996037486), np.float64(0.35380437087767797), np.float64(1.812851433802749)), (np.float64(60.774361742020744), np.float64(0.42301568670339257), np.float64(1.7504189674283692)), (np.float64(43.293955545586925), np.float64(0.4407398152273589), np.float64(1.8280178085483751)), (np.float64(43.07070193283613), np.float64(0.4134283369315989), np.float64(1.732738874610461)), (np.float64(46.172022089268694), np.float64(-0.00817217250616209), np.float64(1.750570552125624))]


Results for corner ss
[['0', 'time', 'time'], ['1', 'v(clk)', 'voltage'], ['2', 'v(comp_out)', 'voltage'], ['3', 'v(inn)', 'voltage'], ['4', 'v(inp)', 'voltage'], ['5', 'v(temperat)', 'voltage'], ['6', 'v(vdd)', 'voltage'], ['7', 'i(vvdd)', 'current']]
58, 1.4, 1.8, 2.5e-07, 2.5e-07, 0, OK
57, 1.1, 1.8, 2.5e-07, 2.6e-07, 7.1e-09, OK
65, 1.1, 1.7, 2.5e-07, 2.5e-07, 0, OK
44, 0.67, 1.7, 2.5e-07, 2.6e-07, 1.2e-08, OK
42, 0.94, 1.7, 2.6e-07, 2.6e-07, 8.8e-10, OK
30, 1.7, 1.8, 2.5e-07, 2.5e-07, 0, OK
90, 1.7, 1.7, 2.6e-07, 2.6e-07, 0, OK
36, 0.92, 1.8, 2.5e-07, 2.6e-07, 1.1e-08, OK
77, 0.7, 1.8, 2.6e-07, 2.6e-07, 4.7e-09, OK
69, 1.3, 1.7, 2.6e-07, 2.6e-07, 0, OK
34, 1.1, 1.8, 2.6e-07, 2.6e-07, 2.2e-09, OK
71, 0.85, 1.7, 2.5e-07, 2.6e-07, 9e-09, OK
-0.44, 1.2, 1.8, 2.5e-07, 2.5e-07, 0, OK
17, 0.66, 1.8, 2.5e-07, 2.6e-07, 1.3e-08, OK
-24, 1.5, 1.9, 2.5e-07, 2.5e-07, 0, OK
8.4, 0.25, 1.8, 2.5e-07, 1e-12, -2.5e-07, Failed
92, 0.35, 1.8, 2.5e-07, 1e-12, -2.5e-07, Failed
42, 0.91, 1.8, 2.6e-07, 2.6e-07, 2e-09, OK
77, 0.88, 1.7, 2.5e-07, 2.6e-07, 7.9e-09, OK
14, 0.85, 1.7, 2.6e-07, 2.6e-07, 6e-10, OK
36, 0.24, 1.9, 2.6e-07, 1e-12, -2.6e-07, Failed
7.5, 0.73, 1.8, 2.5e-07, 2.6e-07, 1.2e-08, OK
6.2, 0.038, 1.7, 2.5e-07, 1e-12, -2.5e-07, Failed
78, 0.99, 1.8, 2.6e-07, 2.6e-07, 0, OK
58, 0.54, 1.8, 2.7e-07, 2.8e-07, 1.4e-08, OK
5.3, 0.39, 1.7, 2.6e-07, 1e-12, -2.6e-07, Failed
34, 0.37, 1.9, 2.5e-07, 1e-12, -2.5e-07, Failed
79, 1.1, 1.8, 2.5e-07, 2.5e-07, 0, OK
40, 0.91, 1.8, 2.5e-07, 2.6e-07, 1.5e-08, OK
66, 1.5, 1.8, 2.6e-07, 2.6e-07, 0, OK
36, 0.87, 1.7, 2.5e-07, 2.6e-07, 1.3e-08, OK
76, 1.4, 1.8, 2.5e-07, 2.5e-07, 0, OK
13, 0.65, 1.9, 2.6e-07, 2.6e-07, 4.9e-09, OK
69, 1.3, 1.8, 2.6e-07, 2.6e-07, 0, OK
56, 0.88, 1.8, 2.6e-07, 2.6e-07, 0, OK
3.3, 1.6, 1.9, 2.5e-07, 2.5e-07, 0, OK
31, 0.73, 1.9, 2.5e-07, 2.6e-07, 7.2e-09, OK
36, 1, 1.7, 2.6e-07, 2.6e-07, 5e-09, OK
-14, 0.96, 1.7, 2.5e-07, 2.6e-07, 7.2e-09, OK
88, 1.2, 1.8, 2.4e-07, 2.4e-07, 0, OK
94, 1.1, 1.8, 2.5e-07, 2.5e-07, 0, OK
17, 0.22, 1.7, 2.5e-07, 1e-12, -2.5e-07, Failed
66, 0.58, 1.8, 2.6e-07, 2.6e-07, 1.5e-09, OK
